project_type,project_size,project_duration,task_name,task_description,task_duration
Residential,450,270,Home Gym Fit-Out,Setting up exercise room with specialized flooring,2
Commercial,7000,600,Conference Center,Building large meeting facilities,4
Commercial,7000,600,Cafeteria Construction,Creating commercial kitchen and dining area,7
Commercial,7000,600,Fitness Center,Equipping employee gym,3
Commercial,7000,600,Data Center Setup,Installing server rooms and cooling systems,6
Commercial,7000,600,Outdoor Seating Area,Designing recreational spaces for employees,5
Residential,380,230,Foundation Waterproofing,Applying waterproof sealant to foundation,2
Residential,380,230,Chimney Construction,Building and lining fireplace chimney,3
Residential,380,230,Staircase Installation,Constructing and fitting interior staircase,3
Residential,380,230,Exterior Painting,Painting house exterior and trim,2
Residential,380,230,Gutter Installation,Fitting rain gutters and downspouts,2
Commercial,8000,550,Lobby Water Feature,Installing decorative water fountain,5
Commercial,8000,550,Raised Floor System,Installing raised floors for cable management,7
Commercial,8000,550,Soundproof Rooms,Constructing soundproof meeting spaces,4
Commercial,8000,550,Solar Window Film,Applying energy-efficient window film,3
Commercial,8000,550,Terrace Construction,Building rooftop terrace for employees,4
Industrial,13000,780,Blast-Resistant Construction,Reinforcing structures for safety,7
Industrial,13000,780,Pneumatic Tube System,Installing internal transport system,7
Industrial,13000,780,Coolroom Installation,Building temperature-controlled storage,6
Industrial,13000,780,Dust Collection System,Setting up industrial air filtration,6
Industrial,13000,780,Pressure Vessel Installation,Installing high-pressure containers,8
Infrastructure,22000,900,Geotechnical Survey,Analyzing soil and rock conditions,9
Infrastructure,22000,900,Pile Driving,Installing deep foundation supports,13
Infrastructure,22000,900,Culvert Construction,Building underground water passages,15
Infrastructure,22000,900,Retaining Wall Erection,Constructing earth-retaining structures,12
Infrastructure,22000,900,Traffic Monitoring System,Installing traffic flow sensors,9
Residential,420,250,Skylight Installation,Fitting roof windows for natural light,2
Residential,420,250,Underfloor Heating,Installing radiant floor heating system,2
Residential,420,250,Walk-in Closet Construction,Building custom storage space,1
Residential,420,250,Home Elevator Installation,Fitting residential elevator system,2
Residential,420,250,Basement Waterproofing,Sealing basement against moisture,2
Commercial,6500,500,Atrium Construction,Building central open-air courtyard,5
Commercial,6500,500,Revolving Door Installation,Fitting energy-efficient entrance doors,6
Commercial,6500,500,Indoor Living Wall,Creating vertical garden installation,6
Commercial,6500,500,Noise Cancellation System,Installing sound management technology,6
Commercial,6500,500,Smart Glass Installation,Fitting electronically tintable windows,7
Industrial,11000,720,Crane Rail Installation,Setting up overhead crane system,7
Industrial,11000,720,Effluent Treatment Plant,Constructing wastewater treatment facility,13
Industrial,11000,720,Blast Furnace Construction,Building high-temperature metal processing unit,12
Industrial,11000,720,Automated Warehouse System,Installing robotic storage and retrieval,12
Industrial,11000,720,Industrial Kiln Setup,Constructing large-scale heating chamber,7
Infrastructure,28000,950,Cable-Stayed Bridge,Constructing advanced bridge design,12
Infrastructure,28000,950,Underground Parking Facility,Building subterranean parking structure,14
Infrastructure,28000,950,Desalination Plant,Constructing seawater processing facility,12
Infrastructure,28000,950,Smart City Control Center,Building centralized urban management hub,15
Infrastructure,28000,950,Flood Barrier System,Installing urban flood protection,10
Residential,290,200,Radiant Barrier Installation,Adding reflective insulation in attic,3
Residential,290,200,Central Vacuum System,Installing built-in vacuum cleaning system,2
Residential,290,200,Home Bowling Alley,Constructing private bowling lane,1
Residential,290,200,Safe Room Construction,Building secure panic room,1
Residential,290,200,Indoor Rock Climbing Wall,Installing custom climbing structure,2
Commercial,9000,600,Helical Staircase,Constructing spiral staircase feature,4
Commercial,9000,600,Pneumatic Waste System,Installing automated waste collection,5
Commercial,9000,600,Hydroponic Green Wall,Setting up vertical farming installation,4
Commercial,9000,600,3D Projection Mapping Setup,Installing advanced visual display system,4
Commercial,9000,600,Biometric Access Control,Implementing advanced security measures,7
Industrial,14000,800,Cryogenic Plant Construction,Building low-temperature gas processing facility,11
Industrial,14000,800,Foundry Setup,Constructing metal casting facility,6
Industrial,14000,800,Anechoic Chamber,Building sound-absorbing test room,8
Industrial,14000,800,Rotomolding Facility,Setting up plastic forming equipment,11
Industrial,14000,800,Electroplating Line Installation,Constructing metal coating facility,7
Infrastructure,30000,1000,Tidal Power Station,Building sea-based power generation facility,17
Infrastructure,30000,1000,Mag-Lev Train Track,Constructing magnetic levitation railway,9
Infrastructure,30000,1000,Waste-to-Energy Plant,Building garbage incineration power plant,13
Infrastructure,30000,1000,Smart Grid Implementation,Upgrading city-wide power distribution,9
Infrastructure,30000,1000,Vertical Farm Construction,Building multi-story urban agriculture facility,18
Residential,480,270,Indoor Basketball Court,Constructing private sports facility,2
Residential,480,270,Smart Mirror Installation,Fitting interactive bathroom mirrors,2
Residential,480,270,Home Brewery Setup,Building small-scale brewing facility,2
Residential,480,270,Meditation Garden,Creating zen outdoor space,1
Residential,480,270,Pet Washing Station,Installing dedicated pet grooming area,3
Commercial,7500,520,Holographic Display Room,Setting up 3D projection facility,4
Commercial,7500,520,Vertical Wind Turbine,Installing building-integrated wind power,6
Commercial,7500,520,Aquarium Wall,Constructing large-scale fish tank feature,4
Commercial,7500,520,Retractable Roof,Installing openable stadium-style roof,6
Commercial,7500,520,Virtual Reality Center,Building immersive VR experience room,6
Industrial,16000,850,Semiconductor Clean Room,Constructing ultra-clean manufacturing space,9
Industrial,16000,850,Robotic Painting Facility,Setting up automated paint application system,12
Industrial,16000,850,Particle Accelerator,Building scientific research facility,10
Industrial,16000,850,Automated Cold Storage,Constructing robotic freezer warehouse,10
Industrial,16000,850,Biomass Power Plant,Building organic matter energy facility,8
Infrastructure,35000,1100,Hyperloop Test Track,Constructing high-speed transport prototype,18
Infrastructure,35000,1100,Floating Solar Farm,Building water-based solar panel array,12
Infrastructure,35000,1100,Carbon Capture Facility,Constructing CO2 extraction plant,11
Infrastructure,35000,1100,Vertical Seaport,Building multi-level shipping container port,15
Infrastructure,35000,1100,Urban Air Mobility Hub,Constructing flying taxi port,9
Residential,550,300,Home Planetarium,Installing dome projection system,2
Residential,550,300,Underground Wine Cellar,Excavating and building subterranean storage,2
Residential,550,300,Glass-Bottom Pool,Constructing suspended transparent pool,2
Residential,550,300,Smart Home Hub,Centralizing home automation controls,2
Residential,550,300,Rooftop Helipad,Building personal helicopter landing pad,2
Commercial,10000,650,Indoor Ski Slope,Constructing artificial skiing facility,5
Commercial,10000,650,Augmented Reality Showroom,Setting up high-tech product display,4
Commercial,10000,650,Elevated Park,Creating rooftop public green space,6
Commercial,10000,650,Drone Delivery Center,Building automated package handling facility,8
Commercial,10000,650,Digital Art Gallery,Installing interactive art display systems,4
Industrial,18000,900,Micro-Robotics Lab,Constructing small-scale robot research facility,12
Industrial,18000,900,Acoustic Engine Test Cell,Building sound-isolated engine testing room,10
Industrial,18000,900,Pharmaceutical Cleanroom,Constructing sterile drug manufacturing space,11
Industrial,18000,900,Automated Vertical Farm,Setting up AI-controlled indoor farming,8
Industrial,18000,900,Nanotech Fabrication Facility,Building molecular-scale manufacturing plant,9
Infrastructure,40000,1200,Space Launch Facility,Constructing commercial rocket launch site,10
Infrastructure,40000,1200,Fusion Reactor Prototype,Building experimental power generation plant,10
Infrastructure,40000,1200,Undersea Data Center,Constructing submerged server facility,16
Infrastructure,40000,1200,Atmospheric Water Harvesting Plant,Building air-to-water generation facility,12
Infrastructure,40000,1200,Autonomous Vehicle Test City,Constructing self-driving car research environment,18
Residential,320,180,Solar Roof Installation,Fitting integrated solar panel roofing,1
Residential,320,180,Rainwater Harvesting System,Installing water collection and filtration,3
Residential,320,180,Smart Thermostat Setup,Installing AI-driven climate control,2
Residential,320,180,EV Charging Station,Installing electric vehicle charging point,3
Residential,320,180,Home Battery System,Setting up energy storage solution,2
Commercial,5500,420,Green Wall Installation,Creating vertical garden on exterior wall,5
Commercial,5500,420,Daylight Harvesting System,Installing light-responsive lighting controls,7
Commercial,5500,420,Raised Access Flooring,Installing elevated flooring for cable management,8
Commercial,5500,420,Electrochromic Glazing,Fitting smart-tinting window system,5
Commercial,5500,420,Biometric Access Control,Implementing fingerprint and facial recognition entry,5
Industrial,12000,720,Automated Guided Vehicle System,Setting up self-driving factory vehicles,11
Industrial,12000,720,3D Printing Facility,Constructing additive manufacturing center,8
Industrial,12000,720,IoT Sensor Network,Implementing factory-wide data collection system,13
Industrial,12000,720,Robotic Assembly Line,Installing AI-driven production line,6
Industrial,12000,720,AR Maintenance System,Setting up augmented reality repair assistance,11
Infrastructure,25000,900,Smart Traffic Management,Implementing AI-driven traffic control system,13
Infrastructure,25000,900,Micro Nuclear Reactor,Constructing small-scale nuclear power plant,16
Infrastructure,25000,900,Urban Air Mobility Vertiport,Building flying taxi landing facility,11
Infrastructure,25000,900,Hyperloop Station,Constructing vacuum-tube transport terminal,10
Infrastructure,25000,900,Quantum Network Node,Installing quantum internet connection point,14
Residential,400,210,Home Cinema Installation,Building dedicated movie viewing room,1
Residential,400,210,Indoor Vertical Garden,Installing hydroponic wall garden,1
Residential,400,210,Smart Glass Installation,Fitting electronically tinting windows,3
Residential,400,210,Geothermal Heat Pump,Installing ground-source heating system,3
Residential,400,210,Home Elevator,Fitting residential lift system,2
Commercial,7000,480,AR Navigation System,Implementing indoor augmented reality wayfinding,8
Commercial,7000,480,Pneumatic Waste Collection,Installing automated trash removal system,4
Commercial,7000,480,Kinetic Energy Floor,Fitting foot traffic power generation system,8
Commercial,7000,480,AI Security System,Setting up machine learning-based surveillance,8
Commercial,7000,480,Drone Delivery Hub,Constructing aerial package reception center,4
Industrial,15000,800,Plasma Waste Processing,Building high-temperature waste treatment facility,13
Industrial,15000,800,Carbon Capture System,Installing industrial CO2 extraction unit,8
Industrial,15000,800,Exoskeleton Testing Facility,Constructing powered suit development center,12
Industrial,15000,800,Microgravity Simulation Chamber,Building weightlessness research facility,7
Industrial,15000,800,Biomimetic Manufacturing Lab,Setting up nature-inspired production facility,12
Infrastructure,30000,1000,Algae Biofuel Plant,Constructing algae-based fuel production facility,20
Infrastructure,30000,1000,Maglev Train Track,Building magnetic levitation railway system,12
Infrastructure,30000,1000,Space Elevator Ground Station,Constructing terrestrial base for space tether,14
Infrastructure,30000,1000,Fusion Power Plant,Building nuclear fusion energy facility,11
Infrastructure,30000,1000,Atmospheric Water Harvesting Array,Constructing air-to-water generation farm,10
Residential,280,150,Smart Mirror Installation,Fitting AI-enhanced bathroom mirror,1
Residential,280,150,Home Hydroponics System,Setting up automated indoor garden,1
Residential,280,150,Voice-Activated Home Control,Implementing whole-house voice command system,3
Residential,280,150,Radiant Floor Heating,Installing under-floor heating system,2
Residential,280,150,Home Wellness Room,Constructing dedicated health and fitness space,2
Commercial,6000,450,Holographic Conference System,Setting up 3D telepresence facility,6
Commercial,6000,450,Sensory Marketing Installation,Implementing multi-sensory brand experience,5
Commercial,6000,450,Smart Parking System,Installing AI-driven parking management,5
Commercial,6000,450,Indoor Positioning System,Implementing precise location tracking,5
Commercial,6000,450,Collaborative Robot Workspace,Setting up human-robot interaction area,6
Industrial,18000,850,Nanotech Fabrication Facility,Constructing molecular manufacturing plant,12
Industrial,18000,850,Cryogenic Processing Plant,Building ultra-low temperature treatment facility,8
Industrial,18000,850,Magnetic Levitation Assembly,Setting up non-contact production line,7
Industrial,18000,850,Photonic Computing Lab,Constructing light-based computer research center,9
Industrial,18000,850,Metamaterials Production Facility,Building exotic materials manufacturing plant,13
Infrastructure,35000,1100,Satellite Launch Complex,Constructing commercial space launch facility,14
Infrastructure,35000,1100,Offshore Wind Farm,Building sea-based wind turbine array,16
Infrastructure,35000,1100,Underground Data Center,Constructing subterranean server facility,16
Infrastructure,35000,1100,Autonomous Vehicle Test City,Building self-driving car research environment,18
Infrastructure,35000,1100,Urban Farming Skyscraper,Constructing vertical agriculture tower,18
Residential,350,200,Home Climbing Wall,Installing indoor rock climbing facility,3
Residential,350,200,Home Recording Studio,Constructing soundproof music production room,3
Residential,350,200,Automated Pet Care System,Installing smart feeding and monitoring setup,3
Residential,350,200,Home Recycling Center,Setting up waste sorting and processing station,2
Commercial,8000,550,Virtual Reality Showroom,Building immersive product display environment,7
Commercial,8000,550,Biophilic Design Implementation,Incorporating nature-inspired architectural elements,5
Commercial,8000,550,Contactless Retail System,Setting up touch-free shopping technology,7
Commercial,8000,550,Digital Twin Integration,Implementing real-time building simulation system,6
Commercial,8000,550,Photovoltaic Glass Facade,Installing power-generating window system,7
Industrial,20000,900,Bioprinting Facility,Constructing 3D tissue and organ printing center,11
Industrial,20000,900,Quantum Computing Lab,Building advanced quantum processor research facility,8
Industrial,20000,900,Hypersonic Wind Tunnel,Constructing high-speed aerodynamics test facility,10
Industrial,20000,900,Robotic Exoplanet Lab,Setting up automated alien world simulation,12
Industrial,20000,900,Antimatter Production Plant,Building particle physics research facility,8
Infrastructure,40000,1200,Hyperloop Network Hub,Constructing central station for vacuum tube transport,18
Infrastructure,40000,1200,Seabed Mining Facility,Building deep-sea mineral extraction plant,15
Infrastructure,40000,1200,Stratospheric Internet Platform,Constructing high-altitude connectivity base,14
Infrastructure,40000,1200,Intermodal Transport Center,Building multi-mode transportation hub,11
Infrastructure,40000,1200,Space Debris Removal Base,Constructing orbital cleanup mission control,20
Residential,420,240,Home Aquaponics System,Installing fish and plant symbiotic ecosystem,2
Residential,420,240,Electromagnetic Shielding,Fitting EMF-blocking materials in walls,3
Residential,420,240,Smart Home Security Drone,Setting up automated aerial surveillance,2
Residential,420,240,Home Holography Room,Constructing 3D projection entertainment space,2
Residential,420,240,Automated Closet System,Installing AI-driven wardrobe management,2
Commercial,9000,600,Artificial Skylight System,Fitting simulated natural light technology,4
Commercial,9000,600,Robotic Inventory Management,Implementing automated stock control system,6
Commercial,9000,600,Haptic Feedback Displays,Installing touch-sensitive product showcases,4
Commercial,9000,600,Fog Screen Projections,Setting up walk-through display technology,4
Commercial,9000,600,Algae Facade Bioreactor,Constructing bio-adaptive building skin,7
Industrial,22000,950,Precision Fermentation Facility,Building lab-grown food production plant,11
Industrial,22000,950,Neuromorphic Computing Center,Constructing brain-inspired AI chip facility,9
Industrial,22000,950,Plasma Propulsion Test Site,Building advanced spacecraft engine facility,10
Industrial,22000,950,Gravitational Wave Detector,Constructing space-time ripple sensing facility,12
Industrial,22000,950,Synthetic Biology Foundry,Setting up engineered organism creation lab,8
Infrastructure,45000,1300,Space Elevator,Constructing orbital tether and climb system,13
Infrastructure,45000,1300,Intercontinental Vacuum Train,Building subsurface ultra-fast rail system,18
Infrastructure,45000,1300,Artificial Gravity Research Station,Constructing rotating space habitat prototype,14
Infrastructure,45000,1300,Global Weather Control Center,Building climate modification command facility,20
Infrastructure,45000,1300,Asteroid Mining Support Base,Constructing space resource extraction hub,10
Residential,300,170,Piezoelectric Floor Tiles,Installing kinetic energy harvesting flooring,3
Residential,300,170,Air-Purifying Paint Application,Applying photocatalytic coating to walls,2
Residential,300,170,Home DNA Lab,Setting up personal genetics testing facility,2
Residential,300,170,Intelligent Wardrobe System,Installing AI-driven clothing management,2
Residential,300,170,Modular Room System,Fitting movable wall and furniture components,2
Commercial,6500,470,Adaptive Lighting System,Implementing circadian rhythm-based illumination,6
Commercial,6500,470,Gesture Control Interface,Installing motion-based building control system,4
Commercial,6500,470,Hologauze Display Screens,Fitting transparent projection surfaces,4
Commercial,6500,470,Piezoelectric Energy Tiles,Installing foot traffic power generation flooring,6
Commercial,6500,470,Reactive Architecture Elements,Constructing movement-responsive building features,8
Industrial,16000,820,Synthetic Spider Silk Plant,Building artificial protein fiber production facility,15
Industrial,16000,820,4D Printing Research Center,Constructing shape-changing material development lab,14
Industrial,16000,820,Cultured Meat Bioreactor Facility,Setting up lab-grown protein production plant,12
Industrial,16000,820,Molecular Assembly Plant,Building atom-by-atom manufacturing facility,11
Industrial,16000,820,Smart Dust Production Line,Constructing microelectromechanical system factory,13
Infrastructure,38000,1150,Archology Construction,Building self-contained city-in-a-building,13
Infrastructure,38000,1150,Lunar Gateway Earth Station,Constructing moon mission control center,12
Infrastructure,38000,1150,Robotic Underground City,Building subterranean automated urban environment,22
Infrastructure,38000,1150,Artificial Island Creation,Constructing man-made land mass in ocean,14
Infrastructure,38000,1150,Atmospheric Scrubber Array,Building large-scale air purification system,20
Residential,380,220,Holographic Entertainment Room,Installing 3D projection system for gaming and movies,3
Residential,380,220,Biometric Health Monitoring,Fitting various health tracking sensors throughout house,3
Residential,380,220,Home Waste-to-Energy System,Installing small-scale garbage-to-power converter,3
Residential,380,220,Adaptive Noise Cancellation,Fitting active sound control system in walls,2
